date,Bitcoin,BTC,bit coin,Bit Coin
2020-07-05,10,2,6,6
2020-07-12,11,2,10,10
2020-07-19,11,2,7,7
2020-07-26,17,4,10,10
2020-08-02,15,4,11,11
2020-08-09,14,3,10,10
2020-08-16,13,3,10,10
2020-08-23,11,3,7,7
2020-08-30,12,3,9,9
2020-09-06,11,3,7,7
2020-09-13,10,2,9,9
2020-09-20,10,2,7,7
2020-09-27,9,2,7,7
2020-10-04,9,2,7,7
2020-10-11,9,2,7,7
2020-10-18,13,3,8,8
2020-10-25,14,3,8,8
2020-11-01,15,4,9,9
2020-11-08,16,4,12,12
2020-11-15,23,5,17,17
2020-11-22,25,5,16,16
2020-11-29,22,5,15,15
2020-12-06,17,4,12,12
2020-12-13,27,6,18,18
2020-12-20,28,6,19,19
2020-12-27,41,8,21,21
2021-01-03,69,12,37,37
2021-01-10,65,11,33,33
2021-01-17,43,8,23,23
2021-01-24,41,7,21,21
2021-01-31,36,7,20,20
2021-02-07,61,10,35,35
2021-02-14,59,10,31,31
2021-02-21,63,11,30,30
2021-02-28,42,8,19,19
2021-03-07,44,8,21,21
2021-03-14,42,8,21,21
2021-03-21,39,7,18,18
2021-03-28,36,7,17,17
2021-04-04,33,7,15,15
2021-04-11,43,8,23,23
2021-04-18,53,10,27,27
2021-04-25,42,8,19,19
2021-05-02,35,6,20,20
2021-05-09,48,8,27,27
2021-05-16,80,13,38,38
2021-05-23,56,10,25,25
2021-05-30,41,7,18,18
2021-06-06,45,7,19,19
